                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7625,                 5.2939,                 3.7325,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,                 0.0883,                 0.0013,                 0.0013
                      1,                 3.6306,                 4.4776,                 3.0722,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,               0.075633,              0.0026332,              0.0026332
                      2,                 3.4104,                 4.2616,                 2.9227,                0.00183,                 0.6875,                0.00174,                0.00067,                      0,                    inf,                      0,               0.062897,               0.003897,               0.003897
                      3,                  3.393,                 4.2181,                 2.8972,                0.00183,                 0.6875,                0.00174,                0.00067,                      0,                    inf,                      0,               0.050092,              0.0050916,              0.0050916
                      4,                 3.2312,                 4.1067,                 2.8091,                0.00077,                 0.1875,                0.00057,                0.00018,                      0,                    inf,                      0,               0.037217,              0.0062169,              0.0062169
                      5,                 3.2381,                 3.8967,                 2.8215,                0.00296,                  0.125,                 0.0027,                0.00099,                      0,                    inf,                      0,               0.024273,              0.0072729,              0.0072729
                      6,                 3.1519,                  3.843,                 2.7957,                0.00587,                   0.25,                0.00409,                0.00146,                      0,                    inf,                      0,                0.01126,              0.0082595,              0.0082595
                      7,                 3.1445,                 3.9464,                 2.7487,                0.00504,                 0.3125,                0.00249,                0.00061,                      0,                    inf,                      0,              0.0082675,              0.0082675,              0.0082675
                      8,                 3.1105,                 3.8555,                  2.735,                 0.0065,                 0.4375,                0.02793,                0.01281,                      0,                    inf,                      0,              0.0082675,              0.0082675,              0.0082675
                      9,                 3.0266,                 3.8622,                 2.6774,                0.00744,                  0.125,                0.06857,                0.03051,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     10,                 3.0121,                 3.8752,                 2.7169,                0.00682,                  0.125,                0.01213,                0.00548,                      0,                    inf,                      0,              0.0077725,              0.0077725,              0.0077725
                     11,                 2.8577,                 3.7103,                 2.6024,                0.00611,                  0.125,                0.00249,                0.00107,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                     12,                 2.9843,                 3.9586,                 2.6785,                0.01977,                  0.125,                0.00951,                0.00346,                      0,                    inf,                      0,              0.0072775,              0.0072775,              0.0072775
                     13,                 2.8077,                 3.7583,                 2.5202,                0.00896,                   0.25,                0.00621,                0.00251,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     14,                 3.0013,                 3.7165,                 2.6686,                0.00822,                  0.125,                0.00549,                0.00225,                      0,                    inf,                      0,              0.0067825,              0.0067825,              0.0067825
                     15,                 2.8016,                  3.689,                  2.543,                0.00841,                 0.0625,                0.00522,                0.00173,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                     16,                 2.9699,                 3.7503,                 2.6714,                0.00286,                 0.9375,                0.01569,                0.00555,                      0,                    inf,                      0,              0.0062875,              0.0062875,              0.0062875
                     17,                  2.842,                 3.6776,                 2.6236,                0.00265,                 0.9375,                0.00529,                0.00231,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     18,                 2.9596,                 3.7178,                 2.5994,                0.00243,                  0.875,                0.00363,                0.00174,                      0,                    inf,                      0,              0.0057925,              0.0057925,              0.0057925
                     19,                 2.9588,                 3.8557,                 2.6105,                0.00217,                 0.8125,                0.00306,                0.00109,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     20,                  2.884,                 3.7879,                 2.4793,                0.00217,                 0.8125,                0.00659,                0.00192,                      0,                    inf,                      0,              0.0052975,              0.0052975,              0.0052975
                     21,                 2.7683,                 3.6683,                 2.5534,                0.00253,                 0.9375,                0.00777,                0.00354,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     22,                 2.8159,                 3.6421,                 2.5755,                0.00776,                  0.375,                0.00886,                0.00344,                      0,                    inf,                      0,              0.0048025,              0.0048025,              0.0048025
                     23,                 2.7969,                 3.5071,                 2.5816,                0.01801,                 0.0625,                0.03551,                0.00403,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                     24,                 2.8282,                 3.6438,                 2.5671,                0.00052,                 0.1875,                 0.0006,                0.00015,                      0,                    inf,                      0,              0.0043075,              0.0043075,              0.0043075
                     25,                 2.8107,                 3.7508,                 2.6006,                0.00281,                 0.9375,                0.01225,                0.00467,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     26,                 2.8364,                 3.6365,                 2.5482,                0.00295,                 0.9375,                  0.008,                0.00338,                      0,                    inf,                      0,              0.0038125,              0.0038125,              0.0038125
                     27,                 2.7081,                 3.6348,                 2.5358,                0.00308,                   0.75,                0.00758,                0.00283,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                     28,                 2.9049,                 3.9052,                 2.5517,                0.00306,                 0.8125,                0.00821,                0.00245,                      0,                    inf,                      0,              0.0033175,              0.0033175,              0.0033175
                     29,                 2.6944,                 3.5504,                 2.5119,                0.00318,                 0.9375,                0.01085,                0.00496,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     30,                   2.49,                 3.7832,                 2.3994,                0.00272,                 0.9375,                0.01152,                0.00524,                      0,                    inf,                      0,              0.0028225,              0.0028225,              0.0028225
                     31,                 2.2843,                 3.7532,                 2.2944,                0.00263,                 0.9375,                0.01432,                0.00496,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                     32,                 2.3578,                 3.6086,                 2.3522,                0.00282,                 0.9375,                0.04085,                0.00859,                      0,                    inf,                      0,              0.0023275,              0.0023275,              0.0023275
                     33,                 2.3149,                  3.589,                 2.3287,                0.00326,                 0.9375,                 0.0247,                0.00973,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     34,                  2.335,                  3.571,                 2.3576,                0.00346,                 0.9375,                0.02919,                0.01061,                      0,                    inf,                      0,              0.0018325,              0.0018325,              0.0018325
                     35,                 2.3337,                 3.4819,                 2.2949,                0.00377,                 0.9375,                0.02133,                0.00783,                      0,                    inf,                      0,               0.001585,               0.001585,               0.001585
                     36,                  2.297,                 3.4534,                 2.2912,                0.00398,                 0.9375,                 0.0193,                0.00761,                      0,                    inf,                      0,              0.0013375,              0.0013375,              0.0013375
                     37,                  2.299,                 3.4227,                 2.3025,                0.00404,                 0.9375,                0.03048,                0.00934,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     38,                 2.3391,                 3.3307,                   2.38,                0.00409,                 0.9375,                 0.0798,                0.03163,                      0,                    inf,                      0,              0.0008425,              0.0008425,              0.0008425
                     39,                 2.3041,                 3.5647,                 2.3477,                0.00416,                 0.9375,                0.07948,                0.03171,                      0,                    inf,                      0,               0.000595,               0.000595,               0.000595
